Accession,Protein_Name,Gene_symbol,Protein_Type,Sperm_Location,Caput,NC_Cauda,CORE,NegLog10_p_value,FC
Q3KNY5,RIIa domain-containing protein 1,Riiad1,,,Yes,Yes,Yes,1.089,0.585
Q3LAC4,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein",Prex2,,,Yes,,,,
Q3SXD3,5'-deoxynucleotidase HDDC2,Hddc2,,,Yes,Yes,Yes,4.087,-1.263
Q3TA38,Transmembrane protein 120B,Tmem120b,,Nucleus,Yes,,,,
Q3TAA7,Serine/threonine-protein kinase 11-interacting protein,Stk11ip,,,Yes,,,,
Q3TAE8,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",Alg6,Enzyme,,Yes,,,,
Q3TAS6,ER membrane protein complex subunit 10,Emc10,,,Yes,,,,
Q3TBT3,Stimulator of interferon genes protein,Sting1,,Mitochondria,Yes,,,,
Q3TBW2,"39S ribosomal protein L10, mitochondrial",Mrpl10,,Mitochondria,Yes,,,,
Q3TC33,Coiled-coil domain-containing protein 127,Ccdc127,,,Yes,,,,
Q3TC72,Fumarylacetoacetate hydrolase domain-containing protein 2A,Fahd2,,,Yes,Yes,Yes,1.528,0.09
Q3TC93,HCLS1-binding protein 3,Hs1bp3,,,Yes,,,,
Q3TCH7,Cullin-4A,Cul4a,,,Yes,Yes,Yes,2.331,-0.405
Q3TCJ1,BRISC complex subunit Abraxas 2,Abraxas2,,Nucleus,Yes,Yes,Yes,3.352,-0.782
Q3TCN2,Putative phospholipase B-like 2,Plbd2,,,Yes,Yes,Yes,0.501,0.052
Q3TCX3,KH homology domain-containing protein 4,Khdc4,,Nucleus,Yes,,,,
Q3TD49,Signal peptide peptidase-like 2B,Sppl2b,Peptidase,,Yes,Yes,Yes,3.036,0.67
Q3TDD9,Protein phosphatase 1 regulatory subunit 21,Ppp1r21,,,Yes,,,,
Q3TDK6,Protein rogdi homolog,Rogdi,,Nucleus,,Yes,,,
Q3TDN2,FAS-associated factor 2,Faf2,,,Yes,Yes,Yes,2.95,-1.075
Q3TDQ1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,Stt3b,Enzyme,,Yes,Yes,Yes,6.141,-1.925
Q3TEA8,Heterochromatin protein 1-binding protein 3,Hp1bp3,,Nucleus,Yes,Yes,Yes,1.566,-1.409
Q3TEI4,Uncharacterized protein C15orf39 homolog,,,,Yes,,,,
Q3TFQ1,SPRY domain-containing protein 7,Spryd7,,,Yes,,,,
Q3THE2,Myosin regulatory light chain 12B,Myl12b,,,Yes,Yes,Yes,4.531,-1.563
Q3THF9,"Coenzyme Q-binding protein COQ10 homolog B, mitochondrial",Coq10b,,Mitochondria,Yes,,,,
Q3THG9,Alanyl-tRNA editing protein Aarsd1,Aarsd1,Enzyme,,Yes,,,,
Q3THK3,General transcription factor IIF subunit 1,Gtf2f1,Transcription regulator,Nucleus,Yes,,,,
Q3THK7,GMP synthase [glutamine-hydrolyzing],Gmps,Enzyme,,Yes,Yes,Yes,2.299,-0.71
Q3THS6,S-adenosylmethionine synthase isoform type-2,Mat2a,Enzyme,,Yes,Yes,Yes,4.799,-1.721
Q3THW5,Histone H2A.V,H2az2,,Nucleus,Yes,Yes,Yes,3.439,-0.674
Q3TIR1,Trafficking protein particle complex subunit 13,Trappc13,,,Yes,,,,
Q3TIR3,Synembryn-A,Ric8a,,,Yes,,,,
Q3TIU4,"2',5'-phosphodiesterase 12",Pde12,Enzyme,Mitochondria,Yes,,,,
Q3TIV5,Zinc finger CCCH domain-containing protein 15,Zc3h15,,Nucleus,Yes,,,,
Q3TIX9,U4/U6.U5 tri-snRNP-associated protein 2,Usp39,Peptidase,Nucleus,Yes,Yes,Yes,5.69,-3.947
Q3TJ91,LLGL scribble cell polarity complex component 2,Llgl2,,,Yes,,,,
Q3TJD7,PDZ and LIM domain protein 7,Pdlim7,,,Yes,,,,
Q3TJZ6,Protein FAM98A,Fam98a,,,Yes,,,,
Q3TKT4,Transcription activator BRG1,Smarca4,Transcription regulator,Nucleus,Yes,,,,
Q3TL44,NLR family member X1,Nlrx1,,Mitochondria,Yes,Yes,Yes,2.668,-1.342
Q3TLH4,Protein PRRC2C,Prrc2c,,,Yes,,,,
Q3TLI0,Trafficking protein particle complex subunit 10,Trappc10,,,Yes,,,,
Q3TLP5,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",Echdc2,,,Yes,,,,
Q3TLS3,GDP-D-glucose phosphorylase 1,Gdpgp1,Enzyme,,,Yes,,,
Q3TMH2,Secernin-3,Scrn3,,,Yes,,,,
Q3TMX7,Sulfhydryl oxidase 2,Qsox2,Enzyme,,Yes,,,,
Q3TNA1,Xylulose kinase,Xylb,Kinase,,Yes,,,,
Q3TNH5,Cotranscriptional regulator FAM172A,Fam172a,Transcription regulator,Nucleus,Yes,,,,
Q3TP92,CTD nuclear envelope phosphatase 1,Ctdnep1,Phosphatase,Nucleus,Yes,,,,
Q3TPE9,Ankyrin repeat and MYND domain-containing protein 2,Ankmy2,,,Yes,,,,
Q3TPR7-2,Isoform 2 of Transmembrane protein 184C,Tmem184c,,,,Yes,,,
Q3TPX4,Exocyst complex component 5,Exoc5,,,Yes,Yes,Yes,3.781,-0.643
Q3TQB2,FAD-dependent oxidoreductase domain-containing protein 1,Foxred1,,Mitochondria,Yes,,,,
Q3TQR0-3,Isoform 3 of Post-GPI attachment to proteins factor 2,Pgap2,,,Yes,,,,
Q3TRM4,Patatin-like phospholipase domain-containing protein 6,Pnpla6,Enzyme,,Yes,,,,
Q3TSG4,RNA demethylase ALKBH5,Alkbh5,Enzyme,Nucleus,Yes,,,,
Q3TT38,Protein ILRUN,Ilrun,,Nucleus,,Yes,,,
Q3TT99,Glycerophosphodiester phosphodiesterase domain-containing protein 4,Gdpd4,Kinase,,Yes,Yes,Yes,3.64,0.911
Q3TTE0,Disintegrin and metalloproteinase domain-containing protein 5,Adam5,,,Yes,Yes,Yes,0.907,0.141
Q3TTI8,Testis-expressed protein 52,Tex52,,,Yes,Yes,Yes,2.912,0.593
Q3TTI8-2,Isoform 2 of Testis-expressed protein 52 ,Tex52,,,,,,,
Q3TTL0,Uncharacterized protein C3orf38 homolog,,Peptidase,Nucleus,Yes,,,,
Q3TTP0,Testicular spindle-associated protein SHCBP1L,Shcbp1l,,,,Yes,,,
Q3TTY0,"Phospholipase B1, membrane-associated",Plb1,Enzyme,,Yes,Yes,Yes,3.135,0.406
Q3TTY5,"Keratin, type II cytoskeletal 2 epidermal",Krt2,,,Yes,Yes,Yes,1.13,-0.655
Q3TUA9,Protein O-mannose kinase,Pomk,Kinase,,Yes,,,,
Q3TUF7,YEATS domain-containing protein 2,Yeats2,Transcription regulator,Nucleus,Yes,,,,
Q3TUH1,"Phosphatidate cytidylyltransferase, mitochondrial",Tamm41,Enzyme,Mitochondria,Yes,Yes,Yes,0.31,-0.142
Q3TV65,MPN domain-containing protein,Mpnd,,,Yes,,,,
Q3TVA9,Coiled-coil domain-containing protein 136,Ccdc136,,Acrosome,Yes,Yes,Yes,2.451,0.206
Q3TVA9-2,Isoform 2 of Coiled-coil domain-containing protein 136,Ccdc136,,Acrosome,Yes,Yes,Yes,2.255,0.523
Q3TVI8,Pre-B-cell leukemia transcription factor-interacting protein 1,Pbxip1,Transcription regulator,Nucleus,Yes,Yes,Yes,4.022,-1.746
Q3TVW5,Trichoplein keratin filament-binding protein ,Tchp,,,,,,,
Q3TW96,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,Uap1l1,,,Yes,,,,
Q3TWL2,"Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",Pip4p1,Phosphatase,,Yes,,,,
Q3TWW8,Serine/arginine-rich splicing factor 6,Srsf6,,Nucleus,Yes,Yes,Yes,4.359,-1.499
Q3TX51,Leucine-rich repeat-containing protein 28,Lrrc28,,,Yes,Yes,Yes,0.455,0.091
Q3TXS7,26S proteasome non-ATPase regulatory subunit 1,Psmd1,,Nucleus,Yes,Yes,Yes,0.261,-0.027
Q3TY65,Islet cell autoantigen 1-like protein,Ica1l,,,,Yes,,,
Q3TYA6,M-phase phosphoprotein 8,Mphosph8,Transcription regulator,Nucleus,Yes,,,,
Q3TYD6,Serine/threonine-protein kinase LMTK2,Lmtk2,Kinase,,Yes,,,,
Q3TYL0,Putative IQ motif and ankyrin repeat domain-containing protein LOC642574 homolog,Iqank1,,,,Yes,,,
Q3TYS2,Cytochrome b-245 chaperone 1,Cybc1,,,Yes,,,,
Q3TYX3,SET and MYND domain-containing protein 5,Smyd5,,,Yes,Yes,Yes,2.259,0.485
Q3TZM9,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",Alg11,,,Yes,Yes,Yes,3.962,-1.313
Q3TZX8,Polynucleotide 5'-hydroxyl-kinase NOL9,Nol9,Kinase,Nucleus,Yes,,,,
Q3TZZ7,Extended synaptotagmin-2,Esyt2,,,Yes,Yes,Yes,4.94,-0.874
Q3U0B3,Dehydrogenase/reductase SDR family member 11,Dhrs11,,,Yes,Yes,Yes,2.323,0.596
Q3U0D9,E3 ubiquitin-protein ligase HACE1,Hace1,Enzyme,Nucleus,,Yes,,,
Q3U0M1,Trafficking protein particle complex subunit 9,Trappc9,,,Yes,Yes,Yes,3.876,-1.64
Q3U0V1,Far upstream element-binding protein 2,Khsrp,Enzyme,Nucleus,Yes,Yes,Yes,4.459,-2.505
Q3U0V2,Tumor necrosis factor receptor type 1-associated DEATH domain protein,Tradd,,Nucleus,Yes,,,,
Q3U0Y2,Transmembrane protein 35B,Tmem35b,,,Yes,,,,
Q3U186,"Probable arginine--tRNA ligase, mitochondrial",Rars2,Enzyme,Mitochondria,Yes,,,,
Q3U1C6,Putative deoxyribonuclease TATDN3,Tatdn3,,Nucleus,,Yes,,,
Q3U1D9,UPF0602 protein C4orf47 homolog,,,,Yes,Yes,Yes,2.823,0.418
Q3U1G5,Interferon-stimulated 20 kDa exonuclease-like 2,Isg20l2,Enzyme,Nucleus,Yes,,,,
Q3U1J0,Sodium-coupled neutral amino acid transporter 5,Slc38a5,Transporter,,Yes,,,,
Q3U1J4,DNA damage-binding protein 1,Ddb1,,Nucleus,Yes,Yes,Yes,4.19,-0.81
Q3U1N2,Sterol regulatory element-binding protein 2,Srebf2,Transcription regulator,Nucleus,Yes,,,,
Q3U1T3,Breast cancer metastasis-suppressor 1-like protein,Brms1l,,Nucleus,Yes,,,,
Q3U1V6,Ubiquitin-conjugating enzyme E2 variant 3,Uevld,Enzyme,,Yes,,,,
Q3U213,Protein SERAC1,Serac1,,Mitochondria,Yes,Yes,Yes,2.486,1.976
Q3U2A8,"Valine--tRNA ligase, mitochondrial",Vars2,Enzyme,,Yes,,,,
Q3U2C5,E3 ubiquitin-protein ligase RNF149,Rnf149,Enzyme,,Yes,,,,
Q3U2P1,Protein transport protein Sec24A,Sec24a,Transporter,,Yes,,,,
Q3U2V3,8-oxo-dGDP phosphatase NUDT18,Nudt18,Enzyme,,Yes,Yes,Yes,3.616,0.774
Q3U308,Cytoplasmic tRNA 2-thiolation protein 2,Ctu2,,,Yes,,,,
Q3U319,E3 ubiquitin-protein ligase BRE1B,Rnf40,Enzyme,Nucleus,Yes,,,,
Q3U3C9,Genetic suppressor element 1,Gse1,,,Yes,,,,
Q3U3I9,Zinc finger protein 865,Znf865,,Nucleus,Yes,,,,
Q3U3R4,Lipase maturation factor 1,Lmf1,,,Yes,Yes,Yes,3.019,-1.643
Q3U3T8,WD repeat-containing protein 62,Wdr62,,Nucleus,,Yes,,,
Q3U3V8,X-ray radiation resistance-associated protein 1,Xrra1,,Nucleus,,Yes,,,
Q3U481,Major facilitator superfamily domain-containing protein 12,Mfsd12,,,Yes,,,,
Q3U487,E3 ubiquitin-protein ligase HECTD3,Hectd3,Enzyme,,Yes,,,,
Q3U4G3,Xyloside xylosyltransferase 1,Xxylt1,Enzyme,,Yes,,,,
Q3U4I7,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2,Pyroxd2,,Mitochondria,Yes,Yes,Yes,2.28,-1.06
Q3U5C8,Rho guanine nucleotide exchange factor 16,Arhgef16,,,Yes,,,,
Q3U5F4,"YrdC domain-containing protein, mitochondrial",Yrdc,,,,Yes,,,
Q3U5Q7,"UMP-CMP kinase 2, mitochondrial",Cmpk2,Kinase,,Yes,Yes,Yes,1.963,0.398
Q3U6K5,Spermatogenesis-associated protein 6,Spata6,,Flagellum,Yes,Yes,Yes,1.869,0.188
Q3U7R1,Extended synaptotagmin-1,Esyt1,,,Yes,Yes,Yes,3.926,-1.406
Q3U821,WD repeat-containing protein 75,Wdr75,,Nucleus,Yes,,,,
Q3U898,COP9 signalosome complex subunit 9,Cops9,,Nucleus,Yes,Yes,Yes,0.138,0.069
Q3U9G9,Delta(14)-sterol reductase LBR,Lbr,Enzyme,Nucleus,Yes,,,,
Q3UA37,Glutamine-rich protein 1,Qrich1,,Nucleus,Yes,,,,
Q3UBX0,Transmembrane protein 109,Tmem109,,Nucleus,Yes,Yes,Yes,3.056,-0.79
Q3UCQ1,Forkhead box protein K2,Foxk2,Transcription regulator,Nucleus,Yes,,,,
Q3UDE2,Tubulin--tyrosine ligase-like protein 12,Ttll12,,Nucleus,Yes,Yes,Yes,3.971,-0.519
Q3UDR8,Protein YIPF3,Yipf3,,,Yes,,,,
Q3UDW8,Heparan-alpha-glucosaminide N-acetyltransferase,Hgsnat,Enzyme,,Yes,,,,
Q3UE17,RNA-binding protein MEX3D,Mex3d,,Nucleus,,Yes,,,
Q3UE37,Ubiquitin-conjugating enzyme E2 Z,Ube2z,Enzyme,Nucleus,Yes,,,,
Q3UEB3,Poly(U)-binding-splicing factor PUF60,Puf60,,Nucleus,,Yes,,,
Q3UEB3-2,Isoform 2 of Poly(U)-binding-splicing factor PUF60,Puf60,,Nucleus,Yes,,,,
Q3UFF7,Lysophospholipase-like protein 1,Lyplal1,Enzyme,,Yes,Yes,Yes,3.227,-2.593
Q3UFK8,FERM domain-containing protein 8,Frmd8,,,Yes,,,,
Q3UFS0,Protein zyg-11 homolog B,Zyg11b,,,Yes,,,,
Q3UFY0,Ribosomal RNA processing protein 36 homolog,Rrp36,,Nucleus,Yes,,,,
Q3UFY7,7-methylguanosine phosphate-specific 5'-nucleotidase,Nt5c3b,Phosphatase,,Yes,Yes,Yes,0.935,0.148
Q3UFY8,tRNA methyltransferase 10 homolog C,Trmt10c,Enzyme,Nucleus; Mitochondria,Yes,,,,
Q3UGF1,WD repeat-containing protein 19,Wdr19,,,Yes,,,,
Q3UGP8,"Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase",Alg10b,Enzyme,,Yes,,,,
Q3UGR5,Haloacid dehalogenase-like hydrolase domain-containing protein 2,Hdhd2,,,Yes,Yes,Yes,4.172,0.858
Q3UGS4,Mapk-regulated corepressor-interacting protein 1,Mcrip1,,Nucleus,Yes,,,,
Q3UGY8,Brefeldin A-inhibited guanine nucleotide-exchange protein 3,Arfgef3,,,Yes,,,,
Q3UH06,Ras-responsive element-binding protein 1,Rreb1,Transcription regulator,Nucleus,Yes,,,,
Q3UH60,Disco-interacting protein 2 homolog B,Dip2b,,Nucleus,Yes,,,,
Q3UHB1,5'-nucleotidase domain-containing protein 3,Nt5dc3,,,Yes,,,,
Q3UHD6,Sorting nexin-27,Snx27,,,Yes,,,,
Q3UHH1,Zinc finger SWIM domain-containing protein 8,Zswim8,,,Yes,,,,
Q3UHJ0,AP2-associated protein kinase 1,Aak1,,,Yes,,,,
Q3UHK3,Protein GREB1,Greb1,,,Yes,,,,
Q3UHN9,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1,Ndst1,Enzyme,,Yes,,,,
Q3UHQ6,Protein dopey-2,Dop1b,,,Yes,,,,
Q3UHX0,Nucleolar protein 8,Nol8,,Nucleus,Yes,,,,
Q3UHX2,28 kDa heat- and acid-stable phosphoprotein,Pdap1,,,Yes,,,,
Q3UIA2,Rho GTPase-activating protein 17,Arhgap17,,,Yes,,,,
Q3UIL6,Pleckstrin homology domain-containing family A member 7,Plekha7,,,Yes,,,,
Q3UIR3,E3 ubiquitin-protein ligase DTX3L,Dtx3l,Enzyme,Nucleus,Yes,,,,
Q3UIU2,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,Ndufb6,Enzyme,Mitochondria,Yes,Yes,Yes,0.156,-0.052
Q3UJ81,Nuclear envelope phosphatase-regulatory subunit 1,Cnep1r1,,Nucleus,Yes,,,,
Q3UJB9,Enhancer of mRNA-decapping protein 4,Edc4,,Nucleus,Yes,Yes,Yes,0.003,0.003
Q3UJD6,Ubiquitin carboxyl-terminal hydrolase 19,Usp19,Peptidase,,Yes,,,,
Q3UJK4,GTP-binding protein 2,Gtpbp2,Enzyme,,Yes,Yes,Yes,2.75,0.357
Q3UJP5,Protein C8orf37 homolog,,,,Yes,,,,
Q3UJU9,Regulator of microtubule dynamics protein 3,Rmdn3,,Nucleus; Mitochondria,Yes,,,,
Q3UK10,B9 domain-containing protein 2,B9d2,,Nucleus; Axoneme,Yes,,,,
Q3UKC1,Tax1-binding protein 1 homolog,Tax1bp1,,,Yes,Yes,Yes,2.597,-1.083
Q3UKJ7,WD40 repeat-containing protein SMU1,Smu1,,Nucleus,Yes,Yes,Yes,3.502,-2.059
Q3UKY7,Serine protease 38,Prss38,,,,Yes,,,
Q3UL36,Arginine and glutamate-rich protein 1,Arglu1,,,Yes,,,,
Q3ULA2,F-box/WD repeat-containing protein 1A,Btrc,Enzyme,Nucleus,Yes,,,,
Q3ULD5,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",Mccc2,Enzyme,Mitochondria,Yes,Yes,Yes,4.29,-1.415
Q3ULF4,Paraplegin,Spg7,Peptidase,Mitochondria,Yes,Yes,Yes,0.756,-0.142
Q3ULJ0,Glycerol-3-phosphate dehydrogenase 1-like protein,Gpd1l,Enzyme,,Yes,,,,
Q3ULW6,Coiled-coil domain-containing protein 33,Ccdc33,,,Yes,,,,
Q3ULW6-3,Isoform 3 of Coiled-coil domain-containing protein 33,Ccdc33,,,,Yes,,,
Q3ULW8,Protein mono-ADP-ribosyltransferase PARP3,Parp3,Enzyme,Nucleus,Yes,,,,
Q3UM29,Conserved oligomeric Golgi complex subunit 7,Cog7,Transporter,,Yes,Yes,Yes,4.04,-1.76
Q3UM45,Protein phosphatase 1 regulatory subunit 7,Ppp1r7,Phosphatase,Nucleus,Yes,Yes,Yes,3.383,0.502
Q3UMB9,WASH complex subunit 4,Washc4,,,Yes,,,,
Q3UMC0,ATPase family protein 2 homolog,Spata5,,,Yes,,,,
Q3UMF0,Cordon-bleu protein-like 1,Cobll1,,,Yes,,,,
Q3UMR5,"Calcium uniporter protein, mitochondrial",Mcu,Ion channel,Mitochondria,Yes,,,,
Q3UMU9,Hepatoma-derived growth factor-related protein 2,Hdgfl2,,Nucleus,Yes,,,,
Q3UMW8,Ceroid-lipofuscinosis neuronal protein 5 homolog,Cln5,,,Yes,,,,
Q3UMY5,Echinoderm microtubule-associated protein-like 4,Eml4,,,Yes,,,,
Q3UMZ3,Phospholipid phosphatase 5,Plpp5,Phosphatase,,Yes,,,,
Q3UN02,Lysocardiolipin acyltransferase 1,Lclat1,Enzyme,,Yes,Yes,Yes,4.979,-1.757
Q3UN04,Ubiquitin carboxyl-terminal hydrolase 30,Usp30,Peptidase,Nucleus; Mitochondria,Yes,,,,
Q3UN90,LYR motif-containing protein 9,Lyrm9,,,Yes,Yes,Yes,1.448,0.2
Q3UND0,Src kinase-associated phosphoprotein 2,Skap2,,,Yes,,,,
Q3UNZ8,Quinone oxidoreductase-like protein 2,Cryzl2,Enzyme,,Yes,Yes,Yes,3.258,-0.937
Q3UPF5,Zinc finger CCCH-type antiviral protein 1,Zc3hav1,,Nucleus,Yes,,,,
Q3UPH1,Protein PRRC1,Prrc1,,,Yes,Yes,Yes,3.017,-1.458
Q3UPH7,Rho guanine nucleotide exchange factor 40,Arhgef40,,,Yes,,,,
Q3UPL0,Protein transport protein Sec31A,Sec31a,,,Yes,Yes,Yes,4.804,-2.293
Q3UPP8,Centrosomal protein of 63 kDa,Cep63,,,Yes,Yes,Yes,1.475,0.792
Q3UPR7,Transmembrane protein 102,Tmem102,,,Yes,,,,
Q3UPR9,Somatomedin-B and thrombospondin type-1 domain-containing protein,Sbspon,,,Yes,,,,
Q3UPW2,ETS-related transcription factor Elf-3,Elf3,Transcription regulator,Nucleus,Yes,,,,
Q3UPY5,Beta-galactosidase-1-like protein 2,Glb1l2,,,Yes,Yes,Yes,2.854,-1.144
Q3UQ44,Ras GTPase-activating-like protein IQGAP2,Iqgap2,,,Yes,Yes,Yes,4.799,-1.119
Q3UQ84,"Threonine--tRNA ligase, mitochondrial",Tars2,Enzyme,Mitochondria,Yes,,,,
Q3UQN2,F-BAR domain only protein 2,Fcho2,,,Yes,,,,
Q3UQU0,Bromodomain-containing protein 9,Brd9,,Nucleus,Yes,,,,
Q3UR97,Sorting nexin-21,Snx21,Transporter,,Yes,Yes,Yes,2.477,1.112
Q3URD3,Sarcolemmal membrane-associated protein,Slmap,,,Yes,Yes,Yes,3.504,-2.112
Q3URE1,"Malonate--CoA ligase ACSF3, mitochondrial",Acsf3,Enzyme,,Yes,,,,
Q3URQ0,Testis-expressed protein 10,Tex10,,Nucleus,Yes,,,,
Q3URS9,Mitochondrial potassium channel,Ccdc51,,Mitochondria,Yes,Yes,Yes,2.602,-1.048
Q3US41,Epithelial splicing regulatory protein 1,Esrp1,,Nucleus,Yes,,,,
Q3USH5,"Splicing factor, suppressor of white-apricot homolog",Sfswap,,Nucleus,Yes,,,,
Q3USS3,Dynein regulatory complex protein 1,Drc1,,Axoneme,Yes,Yes,Yes,3.128,0.445
Q3UTJ2,Sorbin and SH3 domain-containing protein 2,Sorbs2,,,Yes,Yes,Yes,5.256,-1.93
Q3UTQ7,PR domain zinc finger protein 10,Prdm10,Transcription regulator,Nucleus,Yes,,,,
Q3UTS8,Serine protease inhibitor Kazal-type 13,Spink13,,,Yes,Yes,Yes,1.005,-0.269
Q3UTZ3,Microtubule-associated protein 11,MAP11,,,Yes,,,,
Q3UU96,Serine/threonine-protein kinase MRCK alpha,Cdc42bpa,Kinase,,Yes,,,,
Q3UUI3,Acyl-coenzyme A thioesterase THEM4,Them4,Enzyme,Mitochondria,Yes,Yes,Yes,2.466,0.229
Q3UUJ4,STE20-related kinase adapter protein alpha,Strada,Kinase,Nucleus,Yes,Yes,Yes,2.611,0.486
Q3UUQ7,GPI inositol-deacylase,Pgap1,Enzyme,,Yes,Yes,Yes,3.423,-0.89
Q3UUY6,Prominin-2,Prom2,Transmembrane receptor,,Yes,,,,
Q3UV70,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",Pdp1,Phosphatase,Mitochondria,Yes,Yes,Yes,2.142,0.449
Q3UVG3,Protein FAM91A1,Fam91a1,,,Yes,,,,
Q3UVK0,Endoplasmic reticulum metallopeptidase 1,Ermp1,,,Yes,Yes,Yes,3.369,-1.234
Q3UVL4,Vacuolar protein sorting-associated protein 51 homolog,Vps51,,,Yes,,,,
Q3UVY5,Pecanex-like protein 4,Pcnx4,,,,Yes,,,
Q3UW21,Colipase-like protein 2,Clpsl2,,,Yes,Yes,Yes,4.531,-1.24
Q3UW53,Protein Niban 1,Niban1,,,Yes,Yes,Yes,4.207,1.316
Q3UW55,WAP four-disulfide core domain protein 6A,Wfdc6a,,,,Yes,,,
Q3UX62,Coiled-coil domain-containing protein 114,Ccdc114,,Axoneme,Yes,Yes,Yes,2.86,0.274
Q3UXZ9,Lysine-specific demethylase 5A,Kdm5a,Transcription regulator,Nucleus; Mitochondria,Yes,,,,
Q3UY96,Cilia- and flagella-associated protein 74,Cfap74,,Axoneme,Yes,Yes,Yes,3.483,0.889
Q3UYC0,Protein phosphatase 1H,Ppm1h,Phosphatase,Nucleus,Yes,,,,
Q3UYH7,Beta-adrenergic receptor kinase 2,Adrbk2,Kinase,Nucleus; Mid-piece,Yes,Yes,Yes,2.902,0.827
Q3UYI5,Ral guanine nucleotide dissociation stimulator-like 3,Rgl3,,,Yes,,,,
Q3UYV9,Nuclear cap-binding protein subunit 1,Ncbp1,,Nucleus,Yes,,,,
Q3UZ01,RNA-binding region-containing protein 3,Rnpc3,,Nucleus,Yes,,,,
Q3UZ39,Leucine-rich repeat flightless-interacting protein 1,Lrrfip1,Transcription regulator,Nucleus,Yes,,,,
Q3UZ57,Axonemal dynein light chain domain-containing protein 1,Axdnd1,,,Yes,Yes,Yes,2.595,0.743
Q3UZV7,Endosome/lysosome-associated apoptosis and autophagy regulator family member 2,Elapor2,,,Yes,,,,
Q3V009,Transmembrane emp24 domain-containing protein 1,Tmed1,Transporter,,Yes,,,,
Q3V036,Coiled-coil domain-containing protein 27,Ccdc27,,,Yes,Yes,Yes,3.677,0.573
Q3V037,Uncharacterized protein C6orf163 homolog,Gm136,,,Yes,Yes,Yes,2.292,0.442
Q3V050,Multidrug and toxin extrusion protein 2,Slc47a2,Transporter,,,Yes,,,
Q3V079,Basal body-orientation factor 1,Bbof1,,,Yes,Yes,Yes,3.221,0.934
Q3V096,Ankyrin repeat domain-containing protein 42,Ankrd42,Transcription regulator,Nucleus,,Yes,,,
Q3V0B4,Cilia- and flagella-associated protein 65,Cfap65,,Acrosome; Mid-piece; Flagellum,Yes,Yes,Yes,2.547,0.727
Q3V0C5,Ubiquitin carboxyl-terminal hydrolase 48,Usp48,Peptidase,Nucleus,Yes,,,,
Q3V0F0,RIMS-binding protein 3,Rimbp3,,Nucleus,Yes,Yes,Yes,2.119,0.885
Q3V0J4,Ankyrin repeat domain-containing protein 53,Ankrd53,Transcription regulator,,,Yes,,,
Q3V0L5,Leucine-rich repeat-containing protein 43,Lrrc43,,,,Yes,,,
Q3V0Q1,"Dynein heavy chain 12, axonemal",Dnah12,,Axoneme,Yes,Yes,Yes,2.766,0.354
Q3V0Q6,Sperm-associated antigen 8,Spag8,,Acrosome; Nucleus,Yes,Yes,Yes,1.314,0.429
Q3V0Q7,Transmembrane protease serine 12,Tmprss12,Peptidase,,Yes,Yes,Yes,0.136,-0.051
Q3V0X1,Small integral membrane protein 9,Smim9,,,,Yes,,,
Q3V132,ADP/ATP translocase 4,Slc25a31,Transporter,Mitochondria,Yes,Yes,Yes,0.628,-0.061
Q3V140,Acrosin-binding protein,Acrbp,,Acrosome; Nucleus,Yes,Yes,Yes,2.087,0.163
Q3V1L4,Cytosolic purine 5'-nucleotidase,Nt5c2,Phosphatase,,Yes,Yes,Yes,0.641,-0.171
Q3V1T4,Prolyl 3-hydroxylase 1,P3h1,Enzyme,Nucleus,Yes,,,,
Q3V209,Transmembrane and ubiquitin-like domain-containing protein 2,Tmub2,,,Yes,,,,
Q3V2A7,Glutamine-rich protein 2,Qrich2,,Nucleus; Flagellum,Yes,Yes,Yes,2.651,0.503
Q3V2K1,Uncharacterized protein CXorf65 homolog,Gm614,,,Yes,Yes,Yes,0.882,0.254
Q3V384,AFG1-like ATPase,Afg1l,,Mitochondria,Yes,,,,
Q3V3R1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",Mthfd1l,Enzyme,,Yes,Yes,Yes,3.366,-0.572
Q3ZK22,Vezatin,Vezt,,Acrosome; Nucleus,Yes,,,,
Q400C8,Archaemetzincin-2,Amz2,,,Yes,Yes,Yes,2.557,0.928
Q402B2,WD repeat-containing protein 93,Wdr93,,Mitochondria,Yes,Yes,Yes,3.483,0.512
Q402U7,Serine protease 44,Prss44,,,,Yes,,,
